"Indicator Code","Indicator Name","Aggregation Method","Dataset","General Comments","License Type","License URL","Long Definition","Periodicity","Reference Period","Short Definition","Source","Topic","Unit of Measure","Related Indicators","Development Relevance","Limitations and Exceptions","Notes from Original Source","Statistical Concept and Methodology","Other Web Links","Base Period","Other Notes","Previous Indicator Name","Related Source Links"
"SP.HOU.FEMA.ZS","Female headed households (% of households with a female head)","","","The composition of a household plays a role in the determining other characteristics of a household, such as how many children are sent to school and the distribution of family income.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female headed households shows the percentage of households with a female head.","Annual","","","Demographic and Health Surveys.","Health: Population: Dynamics","","","The household is regarded as the fundamental social and economic unit of society. Transformation at the household form, therefore, has impact at the aggregate level of a country. An increasing number of female-headed households (FHHs) in developing countries are emerging as a result of economic changes, economic downturns and social pressures, rather than as a product of cultural patterns. In many developing countries of Asia and Latin American, there has been a significant increase in the percentage of FHHs. The majority of women in FHHs in developing countries are widowed, and to a lesser extent divorced or separated. In the developed countries most female-headed households consist of women who are never married or who are divorced. The feminization of poverty - the process whereby poverty becomes more concentrated among Individuals living in female-headed households - is a key concept for describing FHH social and economic levels.","The definition of female-headed household differs greatly across countries, making cross-country comparison difficult. In some cases it is assumed that a woman cannot be the head of any household with an adult male, because of sex-biased stereotype. Caution should be used in interpreting the data.","","","","","","",""
"SP.POP.0004.FE","Population ages 00-04, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 0 to 4.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.0004.MA","Population ages 00-04, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 0 to 4.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.0014.FE.IN","Population ages 0-14, female","Sum","","Relevance to gender indicator: Knowing how many girls, adolescents and women there are in a population helps a country in determining its provision of services.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.0014.MA.IN","Population ages 0-14, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.0014.TO","Population ages 0-14, total","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Total population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.0014.TO.ZS","Population ages 0-14 (% of total population)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Population between the ages 0 to 14 as a percentage of the total population. Population is based on the de facto definition of population.","Annual","","","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.

This indicator is used for calculating age dependency ratio (percent of working-age population). The age dependency ratio is the ratio of the sum of the population aged 0-14 and the population aged 65 and above to the population aged 15-64. In many developing countries, the once rapidly growing population group of the under-15 population is shrinking. As a result, high fertility rates, together with declining mortality rates, are now reflected in the larger share of the 65 and older population.","","","Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source.

Total population is based on the de facto population including all residents regardless of legal status or citizenship. The values shown are midyear estimates. For more information see metadata for total population (SP.POP.TOTL).","","","","",""
"SP.POP.0509.FE","Population ages 05-09, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 5 to 9.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.0509.MA","Population ages 05-09, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 5 to 9.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1014.FE","Population ages 10-14, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 10 to 14.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1014.MA","Population ages 10-14, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 10 to 14.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1519.FE","Population ages 15-19, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 15 to 19.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1519.MA","Population ages 15-19, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 15 to 19.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1564.FE.IN","Population ages 15-64, female","Sum","","Relevance to gender indicator: Knowing how many girls, adolescents and women there are in a population helps a country in determining its provision of services.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 15 to 64. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1564.MA.IN","Population ages 15-64, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 15 to 64. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1564.TO","Population ages 15-64, total","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Total population between the ages 15 to 64. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.1564.TO.ZS","Population ages 15-64 (% of total population)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Total population between the ages 15 to 64 as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.

This indicator is used for calculating age dependency ratio (percent of working-age population). The age dependency ratio is the ratio of the sum of the population aged 0-14 and the population aged 65 and above to the population aged 15-64. In many developing countries, the once rapidly growing population group of the under-15 population is shrinking. As a result, high fertility rates, together with declining mortality rates, are now reflected in the larger share of the 65 and older population.","","","Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source.

Total population is based on the de facto population including all residents regardless of legal status or citizenship. The values shown are midyear estimates. For more information see metadata for total population (SP.POP.TOTL).","","","","",""
"SP.POP.2024.FE","Population ages 20-24, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 20 to 24.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.2024.MA","Population ages 20-24, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 20 to 24.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.2529.FE","Population ages 25-29, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 25 to 29.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.2529.MA","Population ages 25-29, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 25 to 29.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.3034.FE","Population ages 30-34, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 30 to 34.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.3034.MA","Population ages 30-34, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 30 to 34.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.3539.FE","Population ages 35-39, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 35 to 39.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.3539.MA","Population ages 35-39, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 35 to 39.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.4044.FE","Population ages 40-44, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 40 to 44.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.4044.MA","Population ages 40-44, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 40 to 44.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.4549.FE","Population ages 45-49, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 45 to 49.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.4549.MA","Population ages 45-49, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 45 to 49.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.5054.FE","Population ages 50-54, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 50 to 54.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.5054.MA","Population ages 50-54, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 50 to 54.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.5559.FE","Population ages 55-59, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 55 to 59.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.5559.MA","Population ages 55-59, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 55 to 59.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.6064.FE","Population ages 60-64, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 60 to 64.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.6064.MA","Population ages 60-64, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 60 to 64.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.6569.FE","Population ages 65-69, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 65 to 69.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.6569.MA","Population ages 65-69, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 65 to 69.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.65UP.FE.IN","Population ages 65 and above, female","Sum","","Relevance to gender indicator: Knowing how many girls, adolescents and women there are in a population helps a country in determining its provision of services.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.65UP.MA.IN","Population ages 65 and above, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.65UP.TO","Population ages 65 and above, total","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Total population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
